Week;Research_Date;Day;wake_up_date;wake_up;went_to_sleep_date;went_to_sleep;sleep_time;sleep_time_in_min;awake_time;awake_time_in_min;awake_sleep_in_min;awake_sleep_perc;REM_in_min;REM_perc;light_core_sleep_in_min;light_core_sleep_perc;deep_sleep_in_min;deep_sleep_perc;peak_brain_level;cat_lang;cat_prob_solv;cat_memory;cat_focus;cat_mental_agility;cat_emotion;cat_coord
1;0;Tuesday;;;01.03.23 00:04;12:04 AM;;;;;;;;;;;;;;;;;;;;
1;1;Wednesday;01.03.23 07:25;7:25 AM;01.03.23 23:49;11:49 PM;07:21:34;441;16:23:56;983;108;24.40%;29;6.70%;167;37.80%;137;31.10%;178;154;229;180;151;206;174;150
1;2;Thursday;02.03.23 07:45;7:45 AM;02.03.23 23:20;11:20 PM;07:55:34;475;15:35:04;935;113;23.70%;88;18.60%;186;39.20%;88;18.60%;229;155;282;205;227;257;266;186
1;3;Friday;03.03.23 08:14;8:14 AM;04.03.23 00:47;12:47 AM;08:54:18;534;16:32:29;992;52;9.70%;57;10.80%;310;58.10%;115;21.50%;342;186;342;299;314;404;479;206
1;4;Saturday;04.03.23 08:52;8:52 AM;05.03.23 01:40;1:40 AM;08:05:43;485;16:47:24;1007;92;19.00%;39;8.00%;296;61.00%;58;12.00%;338;195;311;295;274;408;439;234
1;5;Sunday;05.03.23 08:39;8:39 AM;06.03.23 00:57;12:57 AM;06:59:29;419;16:17:26;977;67;15.90%;38;9.10%;248;59.10%;67;15.90%;387;189;325;331;374;461;488;286
2;6;Monday;06.03.23 07:47;7:47 AM;07.03.23 00:58;12:58 AM;06:50:39;410;17:10:13;1030;159;38.70%;26;6.50%;190;46.20%;35;8.60%;393;230;323;346;410;465;469;246
2;7;Tuesday;07.03.23 08:01;8:01 AM;08.03.23 00:25;12:25 AM;07:03:54;423;16:23:46;983;29;6.90%;29;6.90%;259;61.10%;106;25.00%;416;210;323;364;485;491;493;256
2;8;Wednesday;08.03.23 06:54;6:54 AM;09.03.23 01:47;1:47 AM;06:28:35;388;18:52:45;1132;26;6.80%;18;4.50%;273;70.50%;71;18.20%;433;235;333;376;516;517;473;259
2;9;Thursday;09.03.23 07:57;7:57 AM;10.03.23 00:46;12:46 AM;06:10:55;370;16:48:12;1008;32;8.60%;24;6.50%;243;65.60%;72;19.40%;445;236;313;385;563;513;498;279
2;10;Friday;10.03.23 06:43;6:43 AM;11.03.23 01:17;1:17 AM;05:57:40;357;18:33:12;1113;32;8.90%;20;5.60%;254;71.10%;52;14.40%;467;220;316;395;623;539;519;296
2;11;Saturday;11.03.23 07:27;7:27 AM;12.03.23 02:08;2:08 AM;06:10:55;370;18:40:13;1120;81;21.80%;34;9.20%;196;52.90%;60;16.10%;493;200;338;435;673;569;594;276
2;12;Sunday;12.03.23 09:51;9:51 AM;13.03.23 00:09;12:09 AM;07:43:39;463;14:18:06;858;50;10.80%;69;15.00%;251;54.20%;93;20.00%;519;281;382;461;689;585;653;256
3;13;Monday;13.03.23 08:20;8:20 AM;14.03.23 00:13;12:13 AM;08:10:08;490;15:53:51;953;52;10.70%;57;11.60%;316;64.40%;65;13.30%;565;371;435;535;747;620;633;346
3;14;Tuesday;14.03.23 07:31;7:31 AM;14.03.23 23:36;11:36 PM;07:17:09;437;16:05:01;965;100;22.80%;22;5.10%;221;50.60%;94;21.50%;572;351;428;528;766;620;647;383
3;15;Wednesday;15.03.23 08:03;8:03 AM;15.03.23 23:55;11:55 PM;08:27:48;507;15:51:56;951;133;26.20%;60;11.90%;157;31.00%;157;31.00%;582;333;408;530;749;629;677;434
3;16;Thursday;16.03.23 07:04;7:04 AM;16.03.23 23:01;11:01 PM;07:08:19;428;15:57:06;957;27;6.30%;18;4.20%;339;79.20%;45;10.40%;588;353;440;529;746;636;677;434
3;17;Friday;17.03.23 06:53;6:53 AM;18.03.23 03:45;3:45 AM;07:52:29;472;20:51:31;1251;96;20.30%;48;10.10%;215;45.60%;114;24.10%;607;386;472;559;768;658;711;414
3;18;Saturday;18.03.23 10:44;10:44 AM;19.03.23 02:06;2:06 AM;06:59:29;419;15:22:08;922;47;11.10%;16;3.70%;279;66.70%;78;18.50%;602;366;454;554;791;648;718;394
3;19;Sunday;19.03.23 08:53;8:53 AM;20.03.23 00:26;12:26 AM;06:46:14;406;15:33:18;933;38;9.30%;38;9.30%;218;53.70%;113;27.80%;610;376;467;559;801;639;710;389
4;20;Monday;20.03.23 07:43;7:43 AM;20.03.23 23:12;11:12 PM;07:17:09;437;15:29:09;929;24;5.40%;24;5.40%;236;54.10%;154;35.10%;647;449;461;594;793;661;766;539
4;21;Tuesday;21.03.23 07:27;7:27 AM;22.03.23 00:36;12:36 AM;08:14:33;494;17:09:36;1029;21;4.30%;11;2.20%;311;63.00%;150;30.40%;657;456;469;611;796;680;771;539
4;22;Wednesday;22.03.23 07:23;7:23 AM;22.03.23 23:32;11:32 PM;06:46:14;406;16:09:21;969;43;10.50%;11;2.60%;214;52.60%;139;34.20%;665;430;494;610;773;701;762;592
4;23;Thursday;23.03.23 06:27;6:27 AM;23.03.23 22:54;10:54 PM;06:55:04;415;16:26:31;986;49;11.90%;20;4.80%;257;61.90%;89;21.40%;675;410;496;622;788;718;747;629
4;24;Friday;24.03.23 06:50;6:50 AM;25.03.23 00:43;12:43 AM;07:56:54;476;17:52:49;1072;48;10.00%;12;2.50%;226;47.50%;190;40.00%;724;498;586;670;827;756;798;680
4;25;Saturday;25.03.23 08:36;8:36 AM;26.03.23 00:46;12:46 AM;07:52:29;472;16:10:19;970;57;12.00%;38;8.00%;264;56.00%;113;24.00%;747;478;671;673;839;788;778;770
4;26;Sunday;26.03.23 09:43;9:43 AM;26.03.23 23:45;11:45 PM;07:56:54;476;14:02:21;842;32;6.70%;42;8.90%;264;55.60%;138;28.90%;744;458;714;673;819;813;763;731
5;27;Monday;27.03.23 07:46;7:46 AM;27.03.23 23:38;11:38 PM;08:00:25;480;15:52:47;952;45;9.50%;35;7.30%;280;58.30%;120;25.00%;758;473;751;685;852;823;772;739
5;28;Tuesday;28.03.23 07:16;7:16 AM;28.03.23 22:50;10:50 PM;07:37:01;457;15:34:58;934;34;7.40%;38;8.40%;241;52.60%;144;31.60%;772;453;766;687;886;828;794;787
5;29;Wednesday;29.03.23 06:39;6:39 AM;30.03.23 00:51;12:51 AM;07:48:04;468;18:12:16;1092;60;12.80%;48;10.30%;240;51.30%;120;25.60%;769;418;768;661;851;827;815;820
5;30;Thursday;30.03.23 07:28;7:28 AM;30.03.23 23:30;11:30 PM;06:37:25;397;16:01:18;961;16;4.00%;17;4.20%;307;77.30%;58;14.60%;772;481;770;688;835;836;790;795
