Week;Research_Date;Day;wake_up_date;wake_up;went_to_sleep_date;went_to_sleep;sleep_time;sleep_time_in_min;awake_time;awake_time_in_min;awake_sleep_in_min;awake_sleep_perc;REM_in_min;REM_perc;light_core_sleep_in_min;light_core_sleep_perc;deep_sleep_in_min;deep_sleep_perc;peak_brain_level;cat_lang;cat_prob_solv;cat_memory;cat_focus;cat_mental_agility;cat_emotion;cat_coord
1;0;Tuesday;;;01.03.23 00:05;12:05 AM;;;;;;;;;;;;;;;;;;;;
1;1;Wednesday;01.03.23 07:03;7:03 AM;02.03.23 00:15;12:15 AM;06:58:46;397;17:11:37;1031;13;3.30%;134;33.70%;208;52.50%;42;10.50%;385;160;252;376;680;460;325;150
1;2;Thursday;02.03.23 07:46;7:46 AM;03.03.23 01:11;1:11 AM;07:31:01;436;17:25:08;1045;67;15.50%;70;16.00%;215;49.30%;84;19.20%;469;169;320;414;791;536;512;205
1;3;Friday;03.03.23 09:38;9:38 AM;04.03.23 00:40;12:40 AM;08:26:42;488;15:02:19;902;8;1.60%;119;24.40%;306;62.70%;55;11.40%;490;169;350;451;832;572;512;205
1;4;Saturday;04.03.23 08:21;8:21 AM;04.03.23 23:46;11:46 PM;07:40:39;420;15:25:18;925;2;0.50%;94;22.40%;272;64.80%;52;12.40%;497;210;374;472;832;567;548;189
1;5;Sunday;05.03.23 06:45;6:45 AM;06.03.23 00:21;12:21 AM;06:58:46;398;17:36:10;1056;4;1.10%;70;17.70%;286;71.80%;37;9.40%;500;190;363;478;825;581;528;213
2;6;Monday;06.03.23 06:38;6:38 AM;07.03.23 00:02;12:02 AM;06:16:53;372;17:23:35;1043;8;2.10%;80;21.50%;251;67.40%;34;9.00%;497;226;343;485;811;564;508;231
2;7;Tuesday;07.03.23 05:57;5:57 AM;08.03.23 02:59;2:59 AM;05:55:57;306;21:01:42;1261;14;4.50%;78;25.40%;197;64.30%;18;5.90%;498;213;369;477;791;575;514;247
2;8;Wednesday;08.03.23 08:26;8:26 AM;09.03.23 00:32;12:32 AM;05:26:38;340;16:06:09;966;14;4.30%;98;28.80%;184;54.00%;44;13.00%;517;267;384;483;771;568;548;337
2;9;Thursday;09.03.23 05:46;5:46 AM;10.03.23 00:00;12:00 AM;05:14:04;309;18:14:22;1094;25;8.20%;53;17.20%;214;69.20%;17;5.40%;541;291;366;511;811;582;589;353
2;10;Friday;10.03.23 05:40;5:40 AM;11.03.23 00:47;12:47 AM;05:39:12;315;19:07:46;1147;7;2.20%;83;26.30%;174;55.20%;51;16.20%;550;271;354;507;807;588;616;396
2;11;Saturday;11.03.23 06:06;6:06 AM;12.03.23 00:30;12:30 AM;05:18:16;358;18:24:37;1104;39;10.80%;63;17.70%;238;66.50%;18;5.00%;581;246;426;508;777;633;661;486
2;12;Sunday;12.03.23 06:39;6:39 AM;13.03.23 00:02;12:02 AM;06:08:31;398;17:22:48;1042;39;9.80%;98;24.60%;227;57.00%;34;8.50%;598;226;462;505;757;654;679;563
3;13;Monday;13.03.23 06:18;6:18 AM;13.03.23 23:17;11:17 PM;06:16:53;395;16:58:23;1018;7;1.80%;97;24.60%;241;61.00%;50;12.70%;649;267;552;559;788;718;705;634
