Week;Research_Date;Day;wake_up_date;wake_up;went_to_sleep_date;went_to_sleep;sleep_time;sleep_time_in_min;awake_time;awake_time_in_min;awake_sleep_in_min;awake_sleep_perc;REM_in_min;REM_perc;light_core_sleep_in_min;light_core_sleep_perc;deep_sleep_in_min;deep_sleep_perc;peak_brain_level;cat_lang;cat_prob_solv;cat_memory;cat_focus;cat_mental_agility;cat_emotion;cat_coord
3;14;Tuesday;14.03.23 06:28;6:28 AM;14.03.23 22:33;10:33 PM;07:11:20;454;16:05:01;965;31;6.90%;138;30.50%;249;54.80%;36;7.90%;708;270;769;596;816;819;713;701
3;15;Wednesday;15.03.23 06:14;6:14 AM;15.03.23 22:58;10:58 PM;07:40:39;472;16:44:23;1004;79;16.70%;118;25.00%;192;40.70%;83;17.60%;712;266;820;590;796;838;728;685
3;16;Thursday;16.03.23 07:00;7:00 AM;16.03.23 23:39;11:39 PM;08:01:35;515;16:39:12;999;6;1.20%;131;25.40%;307;59.70%;71;13.70%;722;271;843;597;812;847;766;665
3;17;Friday;17.03.23 07:28;7:28 AM;17.03.23 23:10;11:10 PM;07:49:01;438;15:42:06;942;45;10.30%;116;26.50%;232;52.90%;45;10.30%;731;345;856;622;809;854;759;645
3;18;Saturday;18.03.23 06:09;6:09 AM;19.03.23 00:24;12:24 AM;06:58:46;370;18:15:16;1095;20;5.50%;93;25.10%;228;61.60%;29;7.80%;727;292;847;604;806;852;789;645
3;19;Sunday;19.03.23 07:44;7:44 AM;19.03.23 23:49;11:49 PM;07:19:42;437;16:05:21;965;26;5.80%;108;24.70%;221;50.70%;82;18.80%;742;329;857;619;814;857;790;693
4;20;Monday;20.03.23 06:44;6:44 AM;20.03.23 22:44;10:44 PM;06:54:35;362;15:59:44;959;46;12.80%;58;16.10%;212;58.50%;45;12.60%;750;289;861;627;842;869;801;715
4;21;Tuesday;21.03.23 06:53;6:53 AM;21.03.23 23:40;11:40 PM;08:09:57;490;16:46:42;1006;1;0.30%;121;24.60%;275;56.20%;93;18.90%;759;333;848;645;837;871;828;703
4;22;Wednesday;22.03.23 07:21;7:21 AM;22.03.23 22:38;10:38 PM;07:40:39;454;15:16:50;916;24;5.40%;98;21.60%;281;62.00%;50;11.10%;759;372;848;645;817;863;808;728
4;23;Thursday;23.03.23 05:57;5:57 AM;23.03.23 22:58;10:58 PM;07:19:42;444;17:00:31;1020;3;0.60%;109;24.60%;302;68.00%;30;6.80%;768;462;852;662;797;857;788;762
4;24;Friday;24.03.23 06:30;6:30 AM;24.03.23 23:51;11:51 PM;07:32:16;445;17:20:50;1040;60;13.50%;96;21.60%;225;50.60%;64;14.40%;784;468;851;669;817;856;810;827
4;25;Saturday;25.03.23 07:19;7:19 AM;25.03.23 23:19;11:19 PM;07:28:05;479;15:59:50;959;19;4.10%;118;24.60%;294;61.30%;48;10.00%;792;502;858;684;798;868;831;807
4;26;Sunday;26.03.23 07:51;7:51 AM;26.03.23 23:10;11:10 PM;07:32:16;459;15:18:33;918;43;9.30%;101;22.10%;255;55.60%;60;13.00%;779;462;854;669;778;873;826;767
5;27;Monday;27.03.23 06:45;6:45 AM;27.03.23 23:13;11:13 PM;07:35:37;478;16:27:59;987;51;10.70%;67;14.00%;278;58.20%;82;17.20%;764;417;834;644;767;860;839;747
5;28;Tuesday;28.03.23 06:27;6:27 AM;29.03.23 00:10;12:10 AM;07:13:25;435;17:42:51;1062;53;12.20%;89;20.50%;217;49.90%;76;17.50%;774;440;851;660;774;871;848;741
5;29;Wednesday;29.03.23 07:33;7:33 AM;30.03.23 00:49;12:49 AM;07:23:54;462;17:15:07;1035;8;1.70%;117;25.40%;298;64.40%;39;8.50%;767;500;844;667;754;861;828;704
5;30;Thursday;30.03.23 07:05;7:05 AM;31.03.23 00:25;12:25 AM;06:16:53;377;17:19:03;1039;1;0.30%;122;32.40%;190;50.40%;64;17.00%;783;488;843;682;793;866;830;770
